,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2023-10-23 01:00:00,1018.6,1022.0,,9.4,8.8,11.3,96,0.6,292.5,,,-999,-999,,,20.0
2023-10-23 02:00:00,1018.5,1021.9,,8.6,8.3,11.0,98,1.3,270.0,,,-999,-999,,,20.0
2023-10-23 03:00:00,1018.5,1021.9,,7.8,7.7,10.5,99,1.3,292.5,,,-999,-999,,,16.3
2023-10-23 04:00:00,1018.8,1022.2,,7.7,7.6,10.4,99,1.7,292.5,,,-999,-999,,,17.9
2023-10-23 05:00:00,1019.1,1022.5,,7.8,7.2,10.2,96,1.6,315.0,,,-999,-999,,,20.0
2023-10-23 06:00:00,1019.3,1022.7,,7.1,6.8,9.9,98,1.7,292.5,0.0,0.0,-999,-999,,,17.7
2023-10-23 07:00:00,1020.0,1023.4,,9.4,8.0,10.7,91,1.5,270.0,0.9,0.29,-999,-999,,,20.0
2023-10-23 08:00:00,1020.6,1023.9,,12.0,8.1,10.8,77,2.7,292.5,1.0,0.94,-999,-999,,,20.0
2023-10-23 09:00:00,1020.3,1023.6,,14.3,8.0,10.8,66,2.1,315.0,0.7,1.24,-999,-999,,,20.0
2023-10-23 10:00:00,1020.0,1023.3,,16.3,9.0,11.5,62,1.4,315.0,1.0,1.89,-999,-999,,,20.0
2023-10-23 11:00:00,1019.4,1022.6,,19.1,8.7,11.3,51,1.6,0.0,0.9,2.19,-999,-999,,,20.0
2023-10-23 12:00:00,1018.1,1021.3,,20.7,8.0,10.7,44,0.9,337.5,1.0,2.49,-999,-999,,,20.0
2023-10-23 13:00:00,1017.5,1020.7,,21.1,6.3,9.5,38,1.3,90.0,0.8,1.81,-999,-999,,,20.0
2023-10-23 14:00:00,1017.2,1020.4,,22.3,8.8,11.3,42,2.2,135.0,0.9,1.76,-999,-999,,,20.0
2023-10-23 15:00:00,1017.4,1020.6,,21.8,8.3,11.0,42,2.4,90.0,1.0,1.45,-999,-999,,,20.0
2023-10-23 16:00:00,1017.7,1020.9,,20.2,10.9,13.0,55,2.0,90.0,1.0,0.76,-999,-999,,,20.0
2023-10-23 17:00:00,1018.0,1021.3,,18.1,11.2,13.3,64,1.4,67.5,0.7,0.23,-999,-999,,,20.0
2023-10-23 18:00:00,1018.7,1022.0,,14.8,11.8,13.8,82,1.4,67.5,,0.0,-999,-999,,,20.0
2023-10-23 19:00:00,1019.0,1022.3,,13.6,11.8,13.9,89,1.0,67.5,,,-999,-999,,,20.0
2023-10-23 20:00:00,1019.2,1022.5,,13.3,11.7,13.7,90,1.7,45.0,,,-999,-999,,,20.0
2023-10-23 21:00:00,1019.6,1022.9,,12.2,11.3,13.4,94,1.3,45.0,,,-999,-999,,,20.0
2023-10-23 22:00:00,1019.4,1022.7,,11.9,11.0,13.1,94,1.9,0.0,,,-999,-999,,,20.0
2023-10-23 23:00:00,1019.3,1022.6,,11.5,11.0,13.2,97,2.0,292.5,,,-999,-999,,,20.0
2023-10-24 00:00:00,1019.1,1022.4,,10.7,10.4,12.6,98,1.3,315.0,,,-999,-999,,,17.0
