,Unnamed: 0,station_name,station_name_kana,fuken_id,type,Latitude (degree),Latitude (minute),latitude,Longitude (degree),Longitude (minute),longitude,height,f_pre,f_wsd,f_tem,f_sun,f_snc,End_year,End_month,End_day,obs_ended,note1,note2,note3,note4,note5,amedas_id1,amedas_id2,station_name_roman
47401,1,稚内,ワツカナイ,11,S,45,24.9,45.415,141,40.7,141.678333333,2.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11016.0,11903.0,Watsukanai
47402,4,北見枝幸,キタミエサシ,11,S,44,56.4,44.94,142,35.1,142.585,6.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11291.0,11917.0,Kitamiesashi
47404,57,羽幌,ハボロ,13,S,44,21.8,44.3633333333,141,42.0,141.7,7.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13181.0,13907.0,Haboro
47405,119,雄武,オウム,17,S,44,34.8,44.58,142,57.8,142.963333333,13.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17036.0,17903.0,Oumu
47406,58,留萌,ルモイ,13,S,43,56.7,43.945,141,37.9,141.631666667,23.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13277.0,13915.0,Rumoi
47407,27,旭川,アサヒカワ,12,S,43,45.4,43.7566666667,142,22.3,142.371666667,120.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12442.0,12927.0,Asahikawa
47409,128,網走,アバシリ,17,S,44,1.0,44.0166666667,144,16.7,144.278333333,37.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17341.0,17917.0,Abashiri
47411,106,小樽,オタル,16,S,43,10.9,43.1816666667,141,1.0,141.016666667,24.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16091.0,16903.0,Otaru
47412,69,札幌,サツポロ,14,S,43,3.6,43.06,141,19.7,141.328333333,17.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,14163.0,14913.0,Satsuporo
47413,87,岩見沢,イワミザワ,15,S,43,12.7,43.2116666667,141,47.1,141.785,42.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15356.0,15923.0,Iwamizawa
47417,198,帯広,オビヒロ,20,S,42,55.3,42.9216666667,143,12.7,143.211666667,38.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,20432.0,20943.0,Obihiro
47418,172,釧路,クシロ,19,S,42,59.1,42.985,144,22.6,144.376666667,4.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,19432.0,19950.0,Kushiro
47420,157,根室,ネムロ,18,S,43,19.8,43.33,145,35.1,145.585,25.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,18273.0,18917.0,Nemuro
47421,111,寿都,スツツ,16,S,42,47.7,42.795,140,13.4,140.223333333,33.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16252.0,16918.0,Sutsutsu
47423,230,室蘭,ムロラン,21,S,42,18.7,42.3116666667,140,58.5,140.975,39.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,21323.0,21930.0,Muroran
47424,222,苫小牧,トマコマイ,21,S,42,37.4,42.6233333333,141,32.8,141.546666667,6.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,21187.0,21913.0,Tomakomai
47426,248,浦河,ウラカワ,22,S,42,9.7,42.1616666667,142,46.6,142.776666667,36.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,22327.0,22913.0,Urakawa
47428,278,江差,エサシ,24,S,41,52.0,41.8666666667,140,7.4,140.123333333,3.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,24217.0,24915.0,Esashi
47430,264,函館,ハコダテ,23,S,41,49.0,41.8166666667,140,45.2,140.753333333,35.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,23232.0,23915.0,Hakodate
47433,109,倶知安,クツチヤン,16,S,42,54.0,42.9,140,45.4,140.756666667,176.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16217.0,16917.0,Kutsuchiyan
47574,290,深浦,フカウラ,31,S,40,38.7,40.645,139,55.9,139.931666667,66.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31436.0,31923.0,Fukaura
47575,286,青森,アオモリ,31,S,40,49.3,40.8216666667,140,46.1,140.768333333,2.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31312.0,31913.0,Aomori
47576,284,むつ,ムツ,31,S,41,17.0,41.2833333333,141,12.6,141.21,2.9,Y,Y,Y,Y,Y,9999,99,99,,1970年4月16日までの地点名「田名部」,,,,,31111.0,31903.0,Mutsu
47581,298,八戸,ハチノヘ,31,S,40,31.6,40.5266666667,141,31.3,141.521666667,27.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31602.0,31953.0,Hachinohe
47582,330,秋田,アキタ,32,S,39,43.0,39.7166666667,140,5.9,140.098333333,6.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32402.0,32927.0,Akita
47584,381,盛岡,モリオカ,33,S,39,41.9,39.6983333333,141,9.9,141.165,155.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33431.0,33927.0,Morioka
47585,382,宮古,ミヤコ,33,S,39,38.8,39.6466666667,141,57.9,141.965,42.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33472.0,33933.0,Miyako
47587,466,酒田,サカタ,35,S,38,54.5,38.9083333333,139,50.6,139.843333333,3.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35052.0,35955.0,Sakata
47588,480,山形,ヤマガタ,35,S,38,15.3,38.255,140,20.7,140.345,152.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35426.0,35927.0,Yamagata
